theta_rad;theta_deg;pressure_exp_kPa;pressure_sim_kPa;temperature_K;heat_loss_J;burned_fraction;dQ_dtheta_kJ_per_rad
-0.610865238;-35.000000;1079.300000;1122.755185;545.153345;-0.764183;0.000000000;0.000000000
-0.602138592;-34.500000;1104.200000;1149.326723;548.554187;-0.733803;0.000000000;0.000000000
-0.593411946;-34.000000;1129.200000;1176.677545;551.993165;-0.702027;0.000000000;0.000000000
-0.584685299;-33.500000;1154.600000;1204.829408;555.470195;-0.668809;0.000000000;0.000000000
-0.575958653;-33.000000;1181.400000;1233.804275;558.985142;-0.634098;0.000000000;0.000000000
-0.567232007;-32.500000;1209.100000;1263.624293;562.537821;-0.597845;0.000000000;0.000000000
-0.558505361;-32.000000;1237.700000;1294.311715;566.127987;-0.559997;0.000000000;0.000000000
-0.549778714;-31.500000;1267.300000;1325.888848;569.755337;-0.520500;0.000000000;0.000000000
-0.541052068;-31.000000;1297.400000;1358.377960;573.419499;-0.479299;0.000000000;0.000000000
-0.532325422;-30.500000;1328.400000;1391.801220;577.120033;-0.436338;0.000000000;0.000000000
-0.523598776;-30.000000;1360.100000;1426.180589;580.856422;-0.391557;0.000000000;0.000000000
-0.514872129;-29.500000;1392.700000;1461.537722;584.628070;-0.344897;0.000000000;0.000000000
-0.506145483;-29.000000;1426.400000;1497.893837;588.434290;-0.296295;0.000000000;0.000000000
-0.497418837;-28.500000;1461.000000;1535.269613;592.274309;-0.245689;0.000000000;0.000000000
-0.488692191;-28.000000;1497.000000;1573.685026;596.147251;-0.193012;0.000000000;0.000000000
-0.479965544;-27.500000;1533.900000;1613.159214;600.052139;-0.138199;0.000000000;0.000000000
-0.471238898;-27.000000;1571.900000;1653.710265;603.987883;-0.081181;0.000000000;0.000000000
-0.462512252;-26.500000;1610.900000;1695.355074;607.953276;-0.021888;0.000000000;0.000000000
-0.453785606;-26.000000;1650.800000;1738.109112;611.946986;0.039749;0.000000000;0.000000000
-0.445058959;-25.500000;1691.400000;1781.986215;615.967551;0.103804;0.000000000;0.000000000
-0.436332313;-25.000000;1733.100000;1826.998321;620.013366;0.170349;0.000000000;0.000000000
-0.427605667;-24.500000;1776.200000;1873.155241;624.082684;0.239460;0.000000000;0.000000000
-0.418879020;-24.000000;1820.700000;1920.464362;628.173601;0.311211;0.000000000;0.000000000
-0.410152374;-23.500000;1866.200000;1968.930332;632.284051;0.385680;0.000000000;0.000000000
-0.401425728;-23.000000;1913.400000;2018.554775;636.411801;0.462942;0.000000000;0.000000000
-0.392699082;-22.500000;1961.300000;2069.335925;640.554439;0.543074;0.000000000;0.000000000
-0.383972435;-22.000000;2010.300000;2121.268280;644.709368;0.626156;0.000000000;0.000000000
-0.375245789;-21.500000;2060.500000;2174.342201;648.873799;0.712263;0.000000000;0.000000000
